x	y	z	valeur
0.000000	0.000000	0.000000	0.003896
0.000000	0.000000	0.100000	0.003896
0.000000	0.000000	0.200000	0.003748
0.000000	0.000000	0.300000	0.003557
0.000000	0.000000	0.400000	0.003373
0.000000	0.000000	0.500000	0.003199
0.000000	0.000000	0.600000	0.003058
0.000000	0.000000	0.700000	0.002967
0.000000	0.000000	0.800000	0.002900
0.000000	0.000000	0.900000	0.002663
0.000000	0.000000	1.000000	0.002663
0.000000	0.100000	0.000000	0.003896
0.000000	0.100000	0.100000	0.003896
0.000000	0.100000	0.200000	0.003748
0.000000	0.100000	0.300000	0.003557
0.000000	0.100000	0.400000	0.003373
0.000000	0.100000	0.500000	0.003199
0.000000	0.100000	0.600000	0.003058
0.000000	0.100000	0.700000	0.002967
0.000000	0.100000	0.800000	0.002900
0.000000	0.100000	0.900000	0.002663
0.000000	0.100000	1.000000	0.002663
0.000000	0.200000	0.000000	0.003757
0.000000	0.200000	0.100000	0.003757
0.000000	0.200000	0.200000	0.003791
0.000000	0.200000	0.300000	0.003718
0.000000	0.200000	0.400000	0.003599
0.000000	0.200000	0.500000	0.003474
0.000000	0.200000	0.600000	0.003359
0.000000	0.200000	0.700000	0.003261
0.000000	0.200000	0.800000	0.003141
0.000000	0.200000	0.900000	0.002817
0.000000	0.200000	1.000000	0.002817
0.000000	0.300000	0.000000	0.003722
0.000000	0.300000	0.100000	0.003722
0.000000	0.300000	0.200000	0.003813
0.000000	0.300000	0.300000	0.003816
0.000000	0.300000	0.400000	0.003761
0.000000	0.300000	0.500000	0.003680
0.000000	0.300000	0.600000	0.003580
0.000000	0.300000	0.700000	0.003395
0.000000	0.300000	0.800000	0.003009
0.000000	0.300000	0.900000	0.002719
0.000000	0.300000	1.000000	0.002719
0.000000	0.400000	0.000000	0.003707
0.000000	0.400000	0.100000	0.003707
0.000000	0.400000	0.200000	0.003831
0.000000	0.400000	0.300000	0.003870
0.000000	0.400000	0.400000	0.003850
0.000000	0.400000	0.500000	0.003794
0.000000	0.400000	0.600000	0.003690
0.000000	0.400000	0.700000	0.003450
0.000000	0.400000	0.800000	0.002961
0.000000	0.400000	0.900000	0.002484
0.000000	0.400000	1.000000	0.002484
0.000000	0.500000	0.000000	0.003708
0.000000	0.500000	0.100000	0.003708
0.000000	0.500000	0.200000	0.003840
0.000000	0.500000	0.300000	0.003889
0.000000	0.500000	0.400000	0.003880
0.000000	0.500000	0.500000	0.003832
0.000000	0.500000	0.600000	0.003734
0.000000	0.500000	0.700000	0.003481
0.000000	0.500000	0.800000	0.002957
0.000000	0.500000	0.900000	0.002461
0.000000	0.500000	1.000000	0.002461
0.000000	0.600000	0.000000	0.003717
0.000000	0.600000	0.100000	0.003717
0.000000	0.600000	0.200000	0.003840
0.000000	0.600000	0.300000	0.003875
0.000000	0.600000	0.400000	0.003851
0.000000	0.600000	0.500000	0.003798
0.000000	0.600000	0.600000	0.003710
0.000000	0.600000	0.700000	0.003495
0.000000	0.600000	0.800000	0.003025
0.000000	0.600000	0.900000	0.002576
0.000000	0.600000	1.000000	0.002576
0.000000	0.700000	0.000000	0.003739
0.000000	0.700000	0.100000	0.003739
0.000000	0.700000	0.200000	0.003831
0.000000	0.700000	0.300000	0.003822
0.000000	0.700000	0.400000	0.003754
0.000000	0.700000	0.500000	0.003672
0.000000	0.700000	0.600000	0.003591
0.000000	0.700000	0.700000	0.003460
0.000000	0.700000	0.800000	0.003177
0.000000	0.700000	0.900000	0.002891
0.000000	0.700000	1.000000	0.002891
0.000000	0.800000	0.000000	0.003795
0.000000	0.800000	0.100000	0.003795
0.000000	0.800000	0.200000	0.003815
0.000000	0.800000	0.300000	0.003716
0.000000	0.800000	0.400000	0.003578
0.000000	0.800000	0.500000	0.003434
0.000000	0.800000	0.600000	0.003299
0.000000	0.800000	0.700000	0.003166
0.000000	0.800000	0.800000	0.003005
0.000000	0.800000	0.900000	0.002687
0.000000	0.800000	1.000000	0.002687
0.000000	0.900000	0.000000	0.003917
0.000000	0.900000	0.100000	0.003917
0.000000	0.900000	0.200000	0.003759
0.000000	0.900000	0.300000	0.003556
0.000000	0.900000	0.400000	0.003360
0.000000	0.900000	0.500000	0.003165
0.000000	0.900000	0.600000	0.002982
0.000000	0.900000	0.700000	0.002830
0.000000	0.900000	0.800000	0.002718
0.000000	0.900000	0.900000	0.002596
0.000000	0.900000	1.000000	0.002596
0.000000	1.000000	0.000000	0.003917
0.000000	1.000000	0.100000	0.003917
0.000000	1.000000	0.200000	0.003759
0.000000	1.000000	0.300000	0.003556
0.000000	1.000000	0.400000	0.003360
0.000000	1.000000	0.500000	0.003165
0.000000	1.000000	0.600000	0.002982
0.000000	1.000000	0.700000	0.002830
0.000000	1.000000	0.800000	0.002718
0.000000	1.000000	0.900000	0.002596
0.000000	1.000000	1.000000	0.002596
0.100000	0.000000	0.000000	0.003896
0.100000	0.000000	0.100000	0.003896
0.100000	0.000000	0.200000	0.003748
0.100000	0.000000	0.300000	0.003557
0.100000	0.000000	0.400000	0.003373
0.100000	0.000000	0.500000	0.003199
0.100000	0.000000	0.600000	0.003058
0.100000	0.000000	0.700000	0.002967
0.100000	0.000000	0.800000	0.002900
0.100000	0.000000	0.900000	0.002663
0.100000	0.000000	1.000000	0.002663
0.100000	0.100000	0.000000	0.003896
0.100000	0.100000	0.100000	0.003896
0.100000	0.100000	0.200000	0.003748
0.100000	0.100000	0.300000	0.003557
0.100000	0.100000	0.400000	0.003373
0.100000	0.100000	0.500000	0.003199
0.100000	0.100000	0.600000	0.003058
0.100000	0.100000	0.700000	0.002967
0.100000	0.100000	0.800000	0.002900
0.100000	0.100000	0.900000	0.002663
0.100000	0.100000	1.000000	0.002663
0.100000	0.200000	0.000000	0.003757
0.100000	0.200000	0.100000	0.003757
0.100000	0.200000	0.200000	0.003791
0.100000	0.200000	0.300000	0.003718
0.100000	0.200000	0.400000	0.003599
0.100000	0.200000	0.500000	0.003474
0.100000	0.200000	0.600000	0.003359
0.100000	0.200000	0.700000	0.003261
0.100000	0.200000	0.800000	0.003141
0.100000	0.200000	0.900000	0.002817
0.100000	0.200000	1.000000	0.002817
0.100000	0.300000	0.000000	0.003722
0.100000	0.300000	0.100000	0.003722
0.100000	0.300000	0.200000	0.003813
0.100000	0.300000	0.300000	0.003816
0.100000	0.300000	0.400000	0.003761
0.100000	0.300000	0.500000	0.003680
0.100000	0.300000	0.600000	0.003580
0.100000	0.300000	0.700000	0.003395
0.100000	0.300000	0.800000	0.003009
0.100000	0.300000	0.900000	0.002719
0.100000	0.300000	1.000000	0.002719
0.100000	0.400000	0.000000	0.003707
0.100000	0.400000	0.100000	0.003707
0.100000	0.400000	0.200000	0.003831
0.100000	0.400000	0.300000	0.003870
0.100000	0.400000	0.400000	0.003850
0.100000	0.400000	0.500000	0.003794
0.100000	0.400000	0.600000	0.003690
0.100000	0.400000	0.700000	0.003450
0.100000	0.400000	0.800000	0.002961
0.100000	0.400000	0.900000	0.002484
0.100000	0.400000	1.000000	0.002484
0.100000	0.500000	0.000000	0.003708
0.100000	0.500000	0.100000	0.003708
0.100000	0.500000	0.200000	0.003840
0.100000	0.500000	0.300000	0.003889
0.100000	0.500000	0.400000	0.003880
0.100000	0.500000	0.500000	0.003832
0.100000	0.500000	0.600000	0.003734
0.100000	0.500000	0.700000	0.003481
0.100000	0.500000	0.800000	0.002957
0.100000	0.500000	0.900000	0.002461
0.100000	0.500000	1.000000	0.002461
0.100000	0.600000	0.000000	0.003717
0.100000	0.600000	0.100000	0.003717
0.100000	0.600000	0.200000	0.003840
0.100000	0.600000	0.300000	0.003875
0.100000	0.600000	0.400000	0.003851
0.100000	0.600000	0.500000	0.003798
0.100000	0.600000	0.600000	0.003710
0.100000	0.600000	0.700000	0.003495
0.100000	0.600000	0.800000	0.003025
0.100000	0.600000	0.900000	0.002576
0.100000	0.600000	1.000000	0.002576
0.100000	0.700000	0.000000	0.003739
0.100000	0.700000	0.100000	0.003739
0.100000	0.700000	0.200000	0.003831
0.100000	0.700000	0.300000	0.003822
0.100000	0.700000	0.400000	0.003754
0.100000	0.700000	0.500000	0.003672
0.100000	0.700000	0.600000	0.003591
0.100000	0.700000	0.700000	0.003460
0.100000	0.700000	0.800000	0.003177
0.100000	0.700000	0.900000	0.002891
0.100000	0.700000	1.000000	0.002891
0.100000	0.800000	0.000000	0.003795
0.100000	0.800000	0.100000	0.003795
0.100000	0.800000	0.200000	0.003815
0.100000	0.800000	0.300000	0.003716
0.100000	0.800000	0.400000	0.003578
0.100000	0.800000	0.500000	0.003434
0.100000	0.800000	0.600000	0.003299
0.100000	0.800000	0.700000	0.003166
0.100000	0.800000	0.800000	0.003005
0.100000	0.800000	0.900000	0.002687
0.100000	0.800000	1.000000	0.002687
0.100000	0.900000	0.000000	0.003917
0.100000	0.900000	0.100000	0.003917
0.100000	0.900000	0.200000	0.003759
0.100000	0.900000	0.300000	0.003556
0.100000	0.900000	0.400000	0.003360
0.100000	0.900000	0.500000	0.003165
0.100000	0.900000	0.600000	0.002982
0.100000	0.900000	0.700000	0.002830
0.100000	0.900000	0.800000	0.002718
0.100000	0.900000	0.900000	0.002596
0.100000	0.900000	1.000000	0.002596
0.100000	1.000000	0.000000	0.003917
0.100000	1.000000	0.100000	0.003917
0.100000	1.000000	0.200000	0.003759
0.100000	1.000000	0.300000	0.003556
0.100000	1.000000	0.400000	0.003360
0.100000	1.000000	0.500000	0.003165
0.100000	1.000000	0.600000	0.002982
0.100000	1.000000	0.700000	0.002830
0.100000	1.000000	0.800000	0.002718
0.100000	1.000000	0.900000	0.002596
0.100000	1.000000	1.000000	0.002596
0.200000	0.000000	0.000000	0.003757
0.200000	0.000000	0.100000	0.003757
0.200000	0.000000	0.200000	0.003791
0.200000	0.000000	0.300000	0.003718
0.200000	0.000000	0.400000	0.003599
0.200000	0.000000	0.500000	0.003474
0.200000	0.000000	0.600000	0.003359
0.200000	0.000000	0.700000	0.003261
0.200000	0.000000	0.800000	0.003141
0.200000	0.000000	0.900000	0.002817
0.200000	0.000000	1.000000	0.002817
0.200000	0.100000	0.000000	0.003757
0.200000	0.100000	0.100000	0.003757
0.200000	0.100000	0.200000	0.003791
0.200000	0.100000	0.300000	0.003718
0.200000	0.100000	0.400000	0.003599
0.200000	0.100000	0.500000	0.003474
0.200000	0.100000	0.600000	0.003359
0.200000	0.100000	0.700000	0.003261
0.200000	0.100000	0.800000	0.003141
0.200000	0.100000	0.900000	0.002817
0.200000	0.100000	1.000000	0.002817
0.200000	0.200000	0.000000	0.003608
0.200000	0.200000	0.100000	0.003608
0.200000	0.200000	0.200000	0.003848
0.200000	0.200000	0.300000	0.003899
0.200000	0.200000	0.400000	0.003878
0.200000	0.200000	0.500000	0.003854
0.200000	0.200000	0.600000	0.003850
0.200000	0.200000	0.700000	0.003846
0.200000	0.200000	0.800000	0.003917
0.200000	0.200000	0.900000	0.004309
0.200000	0.200000	1.000000	0.004309
0.200000	0.300000	0.000000	0.003560
0.200000	0.300000	0.100000	0.003560
0.200000	0.300000	0.200000	0.003873
0.200000	0.300000	0.300000	0.004025
0.200000	0.300000	0.400000	0.004104
0.200000	0.300000	0.500000	0.004190
0.200000	0.300000	0.600000	0.004313
0.200000	0.300000	0.700000	0.004451
0.200000	0.300000	0.800000	0.004653
0.200000	0.300000	0.900000	0.004645
0.200000	0.300000	1.000000	0.004645
0.200000	0.400000	0.000000	0.003538
0.200000	0.400000	0.100000	0.003538
0.200000	0.400000	0.200000	0.003896
0.200000	0.400000	0.300000	0.004099
0.200000	0.400000	0.400000	0.004240
0.200000	0.400000	0.500000	0.004396
0.200000	0.400000	0.600000	0.004593
0.200000	0.400000	0.700000	0.004772
0.200000	0.400000	0.800000	0.004640
0.200000	0.400000	0.900000	0.004405
0.200000	0.400000	1.000000	0.004405
0.200000	0.500000	0.000000	0.003535
0.200000	0.500000	0.100000	0.003535
0.200000	0.500000	0.200000	0.003908
0.200000	0.500000	0.300000	0.004127
0.200000	0.500000	0.400000	0.004288
0.200000	0.500000	0.500000	0.004471
0.200000	0.500000	0.600000	0.004698
0.200000	0.500000	0.700000	0.004861
0.200000	0.500000	0.800000	0.004740
0.200000	0.500000	0.900000	0.004357
0.200000	0.500000	1.000000	0.004357
0.200000	0.600000	0.000000	0.003547
0.200000	0.600000	0.100000	0.003547
0.200000	0.600000	0.200000	0.003907
0.200000	0.600000	0.300000	0.004107
0.200000	0.600000	0.400000	0.004246
0.200000	0.600000	0.500000	0.004409
0.200000	0.600000	0.600000	0.004629
0.200000	0.600000	0.700000	0.004851
0.200000	0.600000	0.800000	0.004748
0.200000	0.600000	0.900000	0.004465
0.200000	0.600000	1.000000	0.004465
0.200000	0.700000	0.000000	0.003578
0.200000	0.700000	0.100000	0.003578
0.200000	0.700000	0.200000	0.003892
0.200000	0.700000	0.300000	0.004035
0.200000	0.700000	0.400000	0.004103
0.200000	0.700000	0.500000	0.004192
0.200000	0.700000	0.600000	0.004342
0.200000	0.700000	0.700000	0.004563
0.200000	0.700000	0.800000	0.004984
0.200000	0.700000	0.900000	0.005803
0.200000	0.700000	1.000000	0.005803
0.200000	0.800000	0.000000	0.003644
0.200000	0.800000	0.100000	0.003644
0.200000	0.800000	0.200000	0.003871
0.200000	0.800000	0.300000	0.003899
0.200000	0.800000	0.400000	0.003859
0.200000	0.800000	0.500000	0.003815
0.200000	0.800000	0.600000	0.003781
0.200000	0.800000	0.700000	0.003712
0.200000	0.800000	0.800000	0.003602
0.200000	0.800000	0.900000	0.003486
0.200000	0.800000	1.000000	0.003486
0.200000	0.900000	0.000000	0.003799
0.200000	0.900000	0.100000	0.003799
0.200000	0.900000	0.200000	0.003791
0.200000	0.900000	0.300000	0.003714
0.200000	0.900000	0.400000	0.003583
0.200000	0.900000	0.500000	0.003431
0.200000	0.900000	0.600000	0.003260
0.200000	0.900000	0.700000	0.003080
0.200000	0.900000	0.800000	0.002911
0.200000	0.900000	0.900000	0.002824
0.200000	0.900000	1.000000	0.002824
0.200000	1.000000	0.000000	0.003799
0.200000	1.000000	0.100000	0.003799
0.200000	1.000000	0.200000	0.003791
0.200000	1.000000	0.300000	0.003714
0.200000	1.000000	0.400000	0.003583
0.200000	1.000000	0.500000	0.003431
0.200000	1.000000	0.600000	0.003260
0.200000	1.000000	0.700000	0.003080
0.200000	1.000000	0.800000	0.002911
0.200000	1.000000	0.900000	0.002824
0.200000	1.000000	1.000000	0.002824
0.300000	0.000000	0.000000	0.003722
0.300000	0.000000	0.100000	0.003722
0.300000	0.000000	0.200000	0.003813
0.300000	0.000000	0.300000	0.003816
0.300000	0.000000	0.400000	0.003761
0.300000	0.000000	0.500000	0.003680
0.300000	0.000000	0.600000	0.003580
0.300000	0.000000	0.700000	0.003395
0.300000	0.000000	0.800000	0.003009
0.300000	0.000000	0.900000	0.002719
0.300000	0.000000	1.000000	0.002719
0.300000	0.100000	0.000000	0.003722
0.300000	0.100000	0.100000	0.003722
0.300000	0.100000	0.200000	0.003813
0.300000	0.100000	0.300000	0.003816
0.300000	0.100000	0.400000	0.003761
0.300000	0.100000	0.500000	0.003680
0.300000	0.100000	0.600000	0.003580
0.300000	0.100000	0.700000	0.003395
0.300000	0.100000	0.800000	0.003009
0.300000	0.100000	0.900000	0.002719
0.300000	0.100000	1.000000	0.002719
0.300000	0.200000	0.000000	0.003560
0.300000	0.200000	0.100000	0.003560
0.300000	0.200000	0.200000	0.003873
0.300000	0.200000	0.300000	0.004025
0.300000	0.200000	0.400000	0.004104
0.300000	0.200000	0.500000	0.004190
0.300000	0.200000	0.600000	0.004313
0.300000	0.200000	0.700000	0.004451
0.300000	0.200000	0.800000	0.004653
0.300000	0.200000	0.900000	0.004645
0.300000	0.200000	1.000000	0.004645
0.300000	0.300000	0.000000	0.003506
0.300000	0.300000	0.100000	0.003506
0.300000	0.300000	0.200000	0.003906
0.300000	0.300000	0.300000	0.004184
0.300000	0.300000	0.400000	0.004406
0.300000	0.300000	0.500000	0.004692
0.300000	0.300000	0.600000	0.005168
0.300000	0.300000	0.700000	0.006095
0.300000	0.300000	0.800000	0.008955
0.300000	0.300000	0.900000	0.015423
0.300000	0.300000	1.000000	0.015423
0.300000	0.400000	0.000000	0.003479
0.300000	0.400000	0.100000	0.003479
0.300000	0.400000	0.200000	0.003934
0.300000	0.400000	0.300000	0.004281
0.300000	0.400000	0.400000	0.004597
0.300000	0.400000	0.500000	0.005016
0.300000	0.400000	0.600000	0.005694
0.300000	0.400000	0.700000	0.006815
0.300000	0.400000	0.800000	0.008591
0.300000	0.400000	0.900000	0.008433
0.300000	0.400000	1.000000	0.008433
0.300000	0.500000	0.000000	0.003475
0.300000	0.500000	0.100000	0.003475
0.300000	0.500000	0.200000	0.003948
0.300000	0.500000	0.300000	0.004317
0.300000	0.500000	0.400000	0.004666
0.300000	0.500000	0.500000	0.005138
0.300000	0.500000	0.600000	0.005893
0.300000	0.500000	0.700000	0.007024
0.300000	0.500000	0.800000	0.008140
0.300000	0.500000	0.900000	0.007624
0.300000	0.500000	1.000000	0.007624
0.300000	0.600000	0.000000	0.003488
0.300000	0.600000	0.100000	0.003488
0.300000	0.600000	0.200000	0.003945
0.300000	0.600000	0.300000	0.004288
0.300000	0.600000	0.400000	0.004603
0.300000	0.600000	0.500000	0.005030
0.300000	0.600000	0.600000	0.005737
0.300000	0.600000	0.700000	0.006937
0.300000	0.600000	0.800000	0.008865
0.300000	0.600000	0.900000	0.009133
0.300000	0.600000	1.000000	0.009133
0.300000	0.700000	0.000000	0.003524
0.300000	0.700000	0.100000	0.003524
0.300000	0.700000	0.200000	0.003924
0.300000	0.700000	0.300000	0.004192
0.300000	0.700000	0.400000	0.004403
0.300000	0.700000	0.500000	0.004692
0.300000	0.700000	0.600000	0.005207
0.300000	0.700000	0.700000	0.006273
0.300000	0.700000	0.800000	0.009941
0.300000	0.700000	0.900000	0.017172
0.300000	0.700000	1.000000	0.017172
0.300000	0.800000	0.000000	0.003599
0.300000	0.800000	0.100000	0.003599
0.300000	0.800000	0.200000	0.003896
0.300000	0.800000	0.300000	0.004021
0.300000	0.800000	0.400000	0.004079
0.300000	0.800000	0.500000	0.004140
0.300000	0.800000	0.600000	0.004213
0.300000	0.800000	0.700000	0.004191
0.300000	0.800000	0.800000	0.003710
0.300000	0.800000	0.900000	0.002798
0.300000	0.800000	1.000000	0.002798
0.300000	0.900000	0.000000	0.003762
0.300000	0.900000	0.100000	0.003762
0.300000	0.900000	0.200000	0.003810
0.300000	0.900000	0.300000	0.003806
0.300000	0.900000	0.400000	0.003738
0.300000	0.900000	0.500000	0.003626
0.300000	0.900000	0.600000	0.003462
0.300000	0.900000	0.700000	0.003193
0.300000	0.900000	0.800000	0.002817
0.300000	0.900000	0.900000	0.002897
0.300000	0.900000	1.000000	0.002897
0.300000	1.000000	0.000000	0.003762
0.300000	1.000000	0.100000	0.003762
0.300000	1.000000	0.200000	0.003810
0.300000	1.000000	0.300000	0.003806
0.300000	1.000000	0.400000	0.003738
0.300000	1.000000	0.500000	0.003626
0.300000	1.000000	0.600000	0.003462
0.300000	1.000000	0.700000	0.003193
0.300000	1.000000	0.800000	0.002817
0.300000	1.000000	0.900000	0.002897
0.300000	1.000000	1.000000	0.002897
0.400000	0.000000	0.000000	0.003707
0.400000	0.000000	0.100000	0.003707
