x	y	z	valeur
0.000000	0.000000	0.000000	0.003740
0.000000	0.000000	0.100000	0.003740
0.000000	0.000000	0.200000	0.003542
0.000000	0.000000	0.300000	0.003054
0.000000	0.000000	0.400000	0.002759
0.000000	0.000000	0.500000	0.002497
0.000000	0.000000	0.600000	0.002295
0.000000	0.000000	0.700000	0.002178
0.000000	0.000000	0.800000	0.002099
0.000000	0.000000	0.900000	0.001753
0.000000	0.000000	1.000000	0.001753
0.000000	0.100000	0.000000	0.003740
0.000000	0.100000	0.100000	0.003740
0.000000	0.100000	0.200000	0.003542
0.000000	0.100000	0.300000	0.003054
0.000000	0.100000	0.400000	0.002759
0.000000	0.100000	0.500000	0.002497
0.000000	0.100000	0.600000	0.002295
0.000000	0.100000	0.700000	0.002178
0.000000	0.100000	0.800000	0.002099
0.000000	0.100000	0.900000	0.001753
0.000000	0.100000	1.000000	0.001753
0.000000	0.200000	0.000000	0.003333
0.000000	0.200000	0.100000	0.003333
0.000000	0.200000	0.200000	0.003485
0.000000	0.200000	0.300000	0.003316
0.000000	0.200000	0.400000	0.003211
0.000000	0.200000	0.500000	0.002904
0.000000	0.200000	0.600000	0.002720
0.000000	0.200000	0.700000	0.002531
0.000000	0.200000	0.800000	0.002311
0.000000	0.200000	0.900000	0.001821
0.000000	0.200000	1.000000	0.001821
0.000000	0.300000	0.000000	0.003459
0.000000	0.300000	0.100000	0.003459
0.000000	0.300000	0.200000	0.003517
0.000000	0.300000	0.300000	0.003471
0.000000	0.300000	0.400000	0.003351
0.000000	0.300000	0.500000	0.003294
0.000000	0.300000	0.600000	0.003021
0.000000	0.300000	0.700000	0.002693
0.000000	0.300000	0.800000	0.002073
0.000000	0.300000	0.900000	0.002028
0.000000	0.300000	1.000000	0.002028
0.000000	0.400000	0.000000	0.003433
0.000000	0.400000	0.100000	0.003433
0.000000	0.400000	0.200000	0.003541
0.000000	0.400000	0.300000	0.003550
0.000000	0.400000	0.400000	0.003483
0.000000	0.400000	0.500000	0.003423
0.000000	0.400000	0.600000	0.003177
0.000000	0.400000	0.700000	0.002734
0.000000	0.400000	0.800000	0.001951
0.000000	0.400000	0.900000	0.001704
0.000000	0.400000	1.000000	0.001704
0.000000	0.500000	0.000000	0.003432
0.000000	0.500000	0.100000	0.003432
0.000000	0.500000	0.200000	0.003551
0.000000	0.500000	0.300000	0.003576
0.000000	0.500000	0.400000	0.003525
0.000000	0.500000	0.500000	0.003464
0.000000	0.500000	0.600000	0.003236
0.000000	0.500000	0.700000	0.002763
0.000000	0.500000	0.800000	0.001924
0.000000	0.500000	0.900000	0.001643
0.000000	0.500000	1.000000	0.001643
0.000000	0.600000	0.000000	0.003444
0.000000	0.600000	0.100000	0.003444
0.000000	0.600000	0.200000	0.003550
0.000000	0.600000	0.300000	0.003554
0.000000	0.600000	0.400000	0.003479
0.000000	0.600000	0.500000	0.003426
0.000000	0.600000	0.600000	0.003203
0.000000	0.600000	0.700000	0.002795
0.000000	0.600000	0.800000	0.002027
0.000000	0.600000	0.900000	0.001765
0.000000	0.600000	1.000000	0.001765
0.000000	0.700000	0.000000	0.003476
0.000000	0.700000	0.100000	0.003476
0.000000	0.700000	0.200000	0.003535
0.000000	0.700000	0.300000	0.003470
0.000000	0.700000	0.400000	0.003358
0.000000	0.700000	0.500000	0.003305
0.000000	0.700000	0.600000	0.003024
0.000000	0.700000	0.700000	0.002760
0.000000	0.700000	0.800000	0.002202
0.000000	0.700000	0.900000	0.002151
0.000000	0.700000	1.000000	0.002151
0.000000	0.800000	0.000000	0.003559
0.000000	0.800000	0.100000	0.003559
0.000000	0.800000	0.200000	0.003508
0.000000	0.800000	0.300000	0.003327
0.000000	0.800000	0.400000	0.003212
0.000000	0.800000	0.500000	0.002829
0.000000	0.800000	0.600000	0.002622
0.000000	0.800000	0.700000	0.002406
0.000000	0.800000	0.800000	0.002162
0.000000	0.800000	0.900000	0.001757
0.000000	0.800000	1.000000	0.001757
0.000000	0.900000	0.000000	0.003777
0.000000	0.900000	0.100000	0.003777
0.000000	0.900000	0.200000	0.003410
0.000000	0.900000	0.300000	0.003225
0.000000	0.900000	0.400000	0.002724
0.000000	0.900000	0.500000	0.002426
0.000000	0.900000	0.600000	0.002162
0.000000	0.900000	0.700000	0.001960
0.000000	0.900000	0.800000	0.001851
0.000000	0.900000	0.900000	0.001692
0.000000	0.900000	1.000000	0.001692
0.000000	1.000000	0.000000	0.003777
0.000000	1.000000	0.100000	0.003777
0.000000	1.000000	0.200000	0.003410
0.000000	1.000000	0.300000	0.003225
0.000000	1.000000	0.400000	0.002724
0.000000	1.000000	0.500000	0.002426
0.000000	1.000000	0.600000	0.002162
0.000000	1.000000	0.700000	0.001960
0.000000	1.000000	0.800000	0.001851
0.000000	1.000000	0.900000	0.001692
0.000000	1.000000	1.000000	0.001692
0.100000	0.000000	0.000000	0.003740
0.100000	0.000000	0.100000	0.003740
0.100000	0.000000	0.200000	0.003542
0.100000	0.000000	0.300000	0.003054
0.100000	0.000000	0.400000	0.002759
0.100000	0.000000	0.500000	0.002497
0.100000	0.000000	0.600000	0.002295
0.100000	0.000000	0.700000	0.002178
0.100000	0.000000	0.800000	0.002099
0.100000	0.000000	0.900000	0.001753
0.100000	0.000000	1.000000	0.001753
0.100000	0.100000	0.000000	0.003740
0.100000	0.100000	0.100000	0.003740
0.100000	0.100000	0.200000	0.003542
0.100000	0.100000	0.300000	0.003054
0.100000	0.100000	0.400000	0.002759
0.100000	0.100000	0.500000	0.002497
0.100000	0.100000	0.600000	0.002295
0.100000	0.100000	0.700000	0.002178
0.100000	0.100000	0.800000	0.002099
0.100000	0.100000	0.900000	0.001753
0.100000	0.100000	1.000000	0.001753
0.100000	0.200000	0.000000	0.003333
0.100000	0.200000	0.100000	0.003333
0.100000	0.200000	0.200000	0.003485
0.100000	0.200000	0.300000	0.003316
0.100000	0.200000	0.400000	0.003211
0.100000	0.200000	0.500000	0.002904
0.100000	0.200000	0.600000	0.002720
0.100000	0.200000	0.700000	0.002531
0.100000	0.200000	0.800000	0.002311
0.100000	0.200000	0.900000	0.001821
0.100000	0.200000	1.000000	0.001821
0.100000	0.300000	0.000000	0.003459
0.100000	0.300000	0.100000	0.003459
0.100000	0.300000	0.200000	0.003517
0.100000	0.300000	0.300000	0.003471
0.100000	0.300000	0.400000	0.003351
0.100000	0.300000	0.500000	0.003294
0.100000	0.300000	0.600000	0.003021
0.100000	0.300000	0.700000	0.002693
0.100000	0.300000	0.800000	0.002073
0.100000	0.300000	0.900000	0.002028
0.100000	0.300000	1.000000	0.002028
0.100000	0.400000	0.000000	0.003433
0.100000	0.400000	0.100000	0.003433
0.100000	0.400000	0.200000	0.003541
0.100000	0.400000	0.300000	0.003550
0.100000	0.400000	0.400000	0.003483
0.100000	0.400000	0.500000	0.003423
0.100000	0.400000	0.600000	0.003177
0.100000	0.400000	0.700000	0.002734
0.100000	0.400000	0.800000	0.001951
0.100000	0.400000	0.900000	0.001704
0.100000	0.400000	1.000000	0.001704
0.100000	0.500000	0.000000	0.003432
0.100000	0.500000	0.100000	0.003432
0.100000	0.500000	0.200000	0.003551
0.100000	0.500000	0.300000	0.003576
0.100000	0.500000	0.400000	0.003525
0.100000	0.500000	0.500000	0.003464
0.100000	0.500000	0.600000	0.003236
0.100000	0.500000	0.700000	0.002763
0.100000	0.500000	0.800000	0.001924
0.100000	0.500000	0.900000	0.001643
0.100000	0.500000	1.000000	0.001643
0.100000	0.600000	0.000000	0.003444
0.100000	0.600000	0.100000	0.003444
0.100000	0.600000	0.200000	0.003550
0.100000	0.600000	0.300000	0.003554
0.100000	0.600000	0.400000	0.003479
0.100000	0.600000	0.500000	0.003426
0.100000	0.600000	0.600000	0.003203
0.100000	0.600000	0.700000	0.002795
0.100000	0.600000	0.800000	0.002027
0.100000	0.600000	0.900000	0.001765
0.100000	0.600000	1.000000	0.001765
0.100000	0.700000	0.000000	0.003476
0.100000	0.700000	0.100000	0.003476
0.100000	0.700000	0.200000	0.003535
0.100000	0.700000	0.300000	0.003470
0.100000	0.700000	0.400000	0.003358
0.100000	0.700000	0.500000	0.003305
0.100000	0.700000	0.600000	0.003024
0.100000	0.700000	0.700000	0.002760
0.100000	0.700000	0.800000	0.002202
0.100000	0.700000	0.900000	0.002151
0.100000	0.700000	1.000000	0.002151
0.100000	0.800000	0.000000	0.003559
0.100000	0.800000	0.100000	0.003559
0.100000	0.800000	0.200000	0.003508
0.100000	0.800000	0.300000	0.003327
0.100000	0.800000	0.400000	0.003212
0.100000	0.800000	0.500000	0.002829
0.100000	0.800000	0.600000	0.002622
0.100000	0.800000	0.700000	0.002406
0.100000	0.800000	0.800000	0.002162
0.100000	0.800000	0.900000	0.001757
0.100000	0.800000	1.000000	0.001757
0.100000	0.900000	0.000000	0.003777
0.100000	0.900000	0.100000	0.003777
0.100000	0.900000	0.200000	0.003410
0.100000	0.900000	0.300000	0.003225
0.100000	0.900000	0.400000	0.002724
0.100000	0.900000	0.500000	0.002426
0.100000	0.900000	0.600000	0.002162
0.100000	0.900000	0.700000	0.001960
0.100000	0.900000	0.800000	0.001851
0.100000	0.900000	0.900000	0.001692
0.100000	0.900000	1.000000	0.001692
0.100000	1.000000	0.000000	0.003777
0.100000	1.000000	0.100000	0.003777
0.100000	1.000000	0.200000	0.003410
0.100000	1.000000	0.300000	0.003225
0.100000	1.000000	0.400000	0.002724
0.100000	1.000000	0.500000	0.002426
0.100000	1.000000	0.600000	0.002162
0.100000	1.000000	0.700000	0.001960
0.100000	1.000000	0.800000	0.001851
0.100000	1.000000	0.900000	0.001692
0.100000	1.000000	1.000000	0.001692
0.200000	0.000000	0.000000	0.003512
0.200000	0.000000	0.100000	0.003512
0.200000	0.000000	0.200000	0.003481
0.200000	0.000000	0.300000	0.003313
0.200000	0.000000	0.400000	0.003209
0.200000	0.000000	0.500000	0.002903
0.200000	0.000000	0.600000	0.002719
0.200000	0.000000	0.700000	0.002531
0.200000	0.000000	0.800000	0.002311
0.200000	0.000000	0.900000	0.001822
0.200000	0.000000	1.000000	0.001822
0.200000	0.100000	0.000000	0.003512
0.200000	0.100000	0.100000	0.003512
0.200000	0.100000	0.200000	0.003481
0.200000	0.100000	0.300000	0.003313
0.200000	0.100000	0.400000	0.003209
0.200000	0.100000	0.500000	0.002903
0.200000	0.100000	0.600000	0.002719
0.200000	0.100000	0.700000	0.002531
0.200000	0.100000	0.800000	0.002311
0.200000	0.100000	0.900000	0.001822
0.200000	0.100000	1.000000	0.001822
0.200000	0.200000	0.000000	0.003276
0.200000	0.200000	0.100000	0.003276
0.200000	0.200000	0.200000	0.003592
0.200000	0.200000	0.300000	0.003614
0.200000	0.200000	0.400000	0.003555
0.200000	0.200000	0.500000	0.003514
0.200000	0.200000	0.600000	0.003491
0.200000	0.200000	0.700000	0.003380
0.200000	0.200000	0.800000	0.003151
0.200000	0.200000	0.900000	0.003593
0.200000	0.200000	1.000000	0.003593
0.200000	0.300000	0.000000	0.003202
0.200000	0.300000	0.100000	0.003202
0.200000	0.300000	0.200000	0.003628
0.200000	0.300000	0.300000	0.003817
0.200000	0.300000	0.400000	0.003917
0.200000	0.300000	0.500000	0.004048
0.200000	0.300000	0.600000	0.004226
0.200000	0.300000	0.700000	0.004351
0.200000	0.300000	0.800000	0.004216
0.200000	0.300000	0.900000	0.003102
0.200000	0.300000	1.000000	0.003102
0.200000	0.400000	0.000000	0.003169
0.200000	0.400000	0.100000	0.003169
0.200000	0.400000	0.200000	0.003660
0.200000	0.400000	0.300000	0.003930
0.200000	0.400000	0.400000	0.004134
0.200000	0.400000	0.500000	0.004392
0.200000	0.400000	0.600000	0.004721
0.200000	0.400000	0.700000	0.004938
0.200000	0.400000	0.800000	0.004309
0.200000	0.400000	0.900000	0.002911
0.200000	0.400000	1.000000	0.002911
0.200000	0.500000	0.000000	0.003163
0.200000	0.500000	0.100000	0.003163
0.200000	0.500000	0.200000	0.003675
0.200000	0.500000	0.300000	0.003971
0.200000	0.500000	0.400000	0.004211
0.200000	0.500000	0.500000	0.004521
0.200000	0.500000	0.600000	0.004921
0.200000	0.500000	0.700000	0.005113
0.200000	0.500000	0.800000	0.004378
0.200000	0.500000	0.900000	0.002759
0.200000	0.500000	1.000000	0.002759
0.200000	0.600000	0.000000	0.003179
0.200000	0.600000	0.100000	0.003179
0.200000	0.600000	0.200000	0.003673
0.200000	0.600000	0.300000	0.003939
0.200000	0.600000	0.400000	0.004140
0.200000	0.600000	0.500000	0.004411
0.200000	0.600000	0.600000	0.004788
0.200000	0.600000	0.700000	0.005093
0.200000	0.600000	0.800000	0.004440
0.200000	0.600000	0.900000	0.003072
0.200000	0.600000	1.000000	0.003072
0.200000	0.700000	0.000000	0.003220
0.200000	0.700000	0.100000	0.003220
0.200000	0.700000	0.200000	0.003650
0.200000	0.700000	0.300000	0.003823
0.200000	0.700000	0.400000	0.003904
0.200000	0.700000	0.500000	0.004039
0.200000	0.700000	0.600000	0.004264
0.200000	0.700000	0.700000	0.004504
0.200000	0.700000	0.800000	0.004555
0.200000	0.700000	0.900000	0.003938
0.200000	0.700000	1.000000	0.003938
0.200000	0.800000	0.000000	0.003315
0.200000	0.800000	0.100000	0.003315
0.200000	0.800000	0.200000	0.003618
0.200000	0.800000	0.300000	0.003600
0.200000	0.800000	0.400000	0.003508
0.200000	0.800000	0.500000	0.003508
0.200000	0.800000	0.600000	0.003466
0.200000	0.800000	0.700000	0.003304
0.200000	0.800000	0.800000	0.002949
0.200000	0.800000	0.900000	0.002928
0.200000	0.800000	1.000000	0.002928
0.200000	0.900000	0.000000	0.003567
0.200000	0.900000	0.100000	0.003567
0.200000	0.900000	0.200000	0.003481
