x	y	z	valeur
0.000000	0.000000	0.000000	0.003283
0.000000	0.000000	0.100000	0.003283
0.000000	0.000000	0.200000	0.002914
0.000000	0.000000	0.300000	0.002281
0.000000	0.000000	0.400000	0.001877
0.000000	0.000000	0.500000	0.001552
0.000000	0.000000	0.600000	0.001323
0.000000	0.000000	0.700000	0.001201
0.000000	0.000000	0.800000	0.001123
0.000000	0.000000	0.900000	0.000784
0.000000	0.000000	1.000000	0.000784
0.000000	0.100000	0.000000	0.003283
0.000000	0.100000	0.100000	0.003283
0.000000	0.100000	0.200000	0.002914
0.000000	0.100000	0.300000	0.002281
0.000000	0.100000	0.400000	0.001877
0.000000	0.100000	0.500000	0.001552
0.000000	0.100000	0.600000	0.001323
0.000000	0.100000	0.700000	0.001201
0.000000	0.100000	0.800000	0.001123
0.000000	0.100000	0.900000	0.000784
0.000000	0.100000	1.000000	0.000784
0.000000	0.200000	0.000000	0.002938
0.000000	0.200000	0.100000	0.002938
0.000000	0.200000	0.200000	0.002963
0.000000	0.200000	0.300000	0.002660
0.000000	0.200000	0.400000	0.002495
0.000000	0.200000	0.500000	0.002058
0.000000	0.200000	0.600000	0.001810
0.000000	0.200000	0.700000	0.001550
0.000000	0.200000	0.800000	0.001275
0.000000	0.200000	0.900000	0.000791
0.000000	0.200000	1.000000	0.000791
0.000000	0.300000	0.000000	0.002996
0.000000	0.300000	0.100000	0.002996
0.000000	0.300000	0.200000	0.003006
0.000000	0.300000	0.300000	0.002890
0.000000	0.300000	0.400000	0.002682
0.000000	0.300000	0.500000	0.002586
0.000000	0.300000	0.600000	0.002177
0.000000	0.300000	0.700000	0.001721
0.000000	0.300000	0.800000	0.001019
0.000000	0.300000	0.900000	0.001151
0.000000	0.300000	1.000000	0.001151
0.000000	0.400000	0.000000	0.002955
0.000000	0.400000	0.100000	0.002955
0.000000	0.400000	0.200000	0.003037
0.000000	0.400000	0.300000	0.003004
0.000000	0.400000	0.400000	0.002871
0.000000	0.400000	0.500000	0.002762
0.000000	0.400000	0.600000	0.002381
0.000000	0.400000	0.700000	0.001747
0.000000	0.400000	0.800000	0.000892
0.000000	0.400000	0.900000	0.000842
0.000000	0.400000	1.000000	0.000842
0.000000	0.500000	0.000000	0.002951
0.000000	0.500000	0.100000	0.002951
0.000000	0.500000	0.200000	0.003050
0.000000	0.500000	0.300000	0.003041
0.000000	0.500000	0.400000	0.002931
0.000000	0.500000	0.500000	0.002819
0.000000	0.500000	0.600000	0.002457
0.000000	0.500000	0.700000	0.001773
0.000000	0.500000	0.800000	0.000861
0.000000	0.500000	0.900000	0.000777
0.000000	0.500000	1.000000	0.000777
0.000000	0.600000	0.000000	0.002969
0.000000	0.600000	0.100000	0.002969
0.000000	0.600000	0.200000	0.003049
